0|/Course:0/AnalogGain:0/Phantom:0|1133                                                                                       
0|/Course:0/Channel:0/Dec:0|215                                                                                               
0|/Course:0/Channel:0/Inc:0|89                                                                                                
0|/Course:0/Custom:0/Switch:0|460                                                                                             
0|/Course:0/Custom:0/Switch:1|86                                                                                              
0|/Course:0/DCASwitch:0|247                                                                                                   
0|/Course:0/Delay:0/On:0|13                                                                                                   
0|/Course:0/DigitalGain:0/Phase:0|32                                                                                          
0|/Course:0/Dynamics:0/LeftSwitch:0|39                                                                                        
0|/Course:0/Dynamics:0/On:0|94                                                                                                
0|/Course:0/Dynamics:0/RightSwitch:0|43                                                                                       
0|/Course:0/Dynamics:1/LeftSwitch:0|36                                                                                        
0|/Course:0/Dynamics:1/On:0|84                                                                                                
0|/Course:0/Dynamics:1/RightSwitch:0|46                                                                                       
0|/Course:0/Edit:0/Copy:0|8                                                                                                   
0|/Course:0/Edit:0/Paste:0|3                                                                                                  
0|/Course:0/EncoderAssign:0/Down:0|107                                                                                        
0|/Course:0/EncoderAssign:0/Up:0|166                                                                                          
0|/Course:0/Equalizer:0/HighBand:0|39                                                                                         
0|/Course:0/Equalizer:0/HighShelf:0|46                                                                                        
0|/Course:0/Equalizer:0/LowBand:0|17                                                                                          
0|/Course:0/Equalizer:0/LowShelf:0|86                                                                                         
0|/Course:0/Equalizer:0/On:0|51                                                                                               
0|/Course:0/FaderBankSelect:0/Switch:0|2069                                                                                   
0|/Course:0/FaderBankSelect:0/Switch:1|485                                                                                    
0|/Course:0/FaderBankSelect:0/Switch:2|209                                                                                    
0|/Course:0/FaderBankSelect:0/Switch:3|205                                                                                    
0|/Course:0/FaderBankSelect:0/Switch:4|397                                                                                    
0|/Course:0/FaderBankSelect:0/Switch:5|2264                                                                                   
0|/Course:0/Filter:0/HPF:0/On:0|202                                                                                           
0|/Course:0/Filter:0/HPF:0/Slope:0|528                                                                                        
0|/Course:0/Filter:0/LPF:0/On:0|162                                                                                           
0|/Course:0/Filter:0/LPF:0/Slope:0|97                                                                                         
0|/Course:0/Home:0|788                                                                                                        
0|/Course:0/Input:0/Switch:0|132                                                                                              
0|/Course:0/Input:0/Switch:1|35                                                                                               
0|/Course:0/InputSelect:0/Switch:0|26                                                                                         
0|/Course:0/InputSelect:0/Switch:1|42                                                                                         
0|/Course:0/Insert:0/On:0|318                                                                                                 
0|/Course:0/Insert:0/On:1|198                                                                                                 
0|/Course:0/Insert:0/PlugIn:0|92                                                                                              
0|/Course:0/Output:0/MatrixSwitch:0|266                                                                                       
0|/Course:0/Output:0/MixSwitch:0|314                                                                                          
0|/Course:0/Safe:0/Isolate:0|57                                                                                               
0|/Course:0/Safe:0/MuteSafe:0|33                                                                                              
0|/Course:0/Safe:0/RecallSafe:0|29                                                                                            
0|/Course:0/Send:0/On:0|43                                                                                                    
0|/Course:0/Send:0/On:1|13                                                                                                    
0|/Course:0/Send:0/PrePost:0|41                                                                                               
0|/Course:0/Send:0/PrePost:1|25                                                                                               
0|/Course:0/Send:1/On:0|39                                                                                                    
0|/Course:0/Send:1/On:1|21                                                                                                    
0|/Course:0/Send:1/PrePost:0|37                                                                                               
0|/Course:0/Send:1/PrePost:1|15                                                                                               
0|/Course:0/Send:2/On:0|45                                                                                                    
0|/Course:0/Send:2/On:1|52                                                                                                    
0|/Course:0/Send:2/PrePost:0|40                                                                                               
0|/Course:0/Send:2/PrePost:1|22                                                                                               
0|/Course:0/Send:3/On:0|39                                                                                                    
0|/Course:0/Send:3/On:1|14                                                                                                    
0|/Course:0/Send:3/PrePost:0|46                                                                                               
0|/Course:0/Send:3/PrePost:1|31                                                                                               
0|/Course:0/Send:4/On:0|47                                                                                                    
0|/Course:0/Send:4/On:1|19                                                                                                    
0|/Course:0/Send:4/PrePost:0|27                                                                                               
0|/Course:0/Send:4/PrePost:1|18                                                                                               
0|/Course:0/Send:5/On:0|48                                                                                                    
0|/Course:0/Send:5/On:1|38                                                                                                    
0|/Course:0/Send:5/PrePost:0|43                                                                                               
0|/Course:0/Send:5/PrePost:1|84                                                                                               
0|/Course:0/SendSelect:0/Matrix:0|35                                                                                          
0|/Course:0/SendSelect:0/Mix:0|80                                                                                             
0|/Course:0/SendSelect:0/Switch:0|122                                                                                         
0|/Course:0/SendSelect:0/Switch:1|150                                                                                         
0|/Course:0/SendSelect:0/Switch:2|110                                                                                         
0|/Course:0/SendSelect:0/Switch:3|90                                                                                          
